W_o (-4.367527e-03, -4.367277e-03) => 2.868727e-05
W_o (-1.218012e-05, -1.217834e-05) => 7.340915e-05
W_o (-9.548415e-05, -9.542676e-05) => 3.006547e-04
W_o (-1.850807e-02, -1.850772e-02) => 9.337523e-06
W_v (2.310657e-01, 2.310667e-01) => 1.958179e-06
W_v (5.529779e-02, 5.529739e-02) => 3.617620e-06
W_v (3.746976e-05, 3.746764e-05) => 2.825184e-05
W_v (-3.676286e-03, -3.676239e-03) => 6.279322e-06
W_v (2.923684e-04, 2.923673e-04) => 1.873466e-06
W_v (-1.194451e-04, -1.194458e-04) => 3.097091e-06
b_i (-8.338185e-01, -8.338258e-01) => 4.359512e-06
b_i (-8.338185e-01, -8.338258e-01) => 4.359512e-06
b_o (1.229314e-03, 1.341056e-03) => 4.347295e-02
b_v (-7.867718e-01, -7.867701e-01) => 1.074120e-06
b_v (4.080900e-01, 4.080889e-01) => 1.400697e-06
b_v (7.111893e-04, 7.111874e-04) => 1.380810e-06
b_v (1.595043e-02, 1.595036e-02) => 1.909410e-06
b_v (1.595043e-02, 1.595036e-02) => 1.909410e-06
